age,sex,prev,year,age_str,freq
16,Male,0.032890477511737855,2007,0.022351491668123877,1.3042666006323855
17,Male,0.03931869804017393,2007,0.02189669626403816,1.3441481782207148
18,Male,0.03901808785529716,2007,0.021647774822283222,1.213055403171778
19,Male,0.038404166701260026,2007,0.0219700837042429,1.2914390606492459
20,Male,0.036230238051971654,2007,0.021413810555582443,1.3059737589321005
21,Male,0.03140307227510524,2007,0.021896088248792057,1.3271848692559822
22,Male,0.02858595012652577,2007,0.0226097157431442,1.3498748577967865
23,Male,0.026732268440276943,2007,0.022305647318567642,1.2885638323253243
24,Male,0.02592409137058616,2007,0.022217667512456407,1.233987380583641
25,Male,0.032538705258934375,2007,0.021972758971325758,1.2815604825475835
26,Male,0.023655596423873063,2007,0.02264674387163193,1.3187323146664414
27,Male,0.022997483985982586,2007,0.02288502504658005,1.307372896564347
28,Male,0.022841462364635728,2007,0.021891406531397057,1.2319044885037813
29,Male,0.020543219445741178,2007,0.020708938480774194,1.2808689704196583
30,Male,0.020234911381358474,2007,0.020483608030568087,1.2565672659075433
31,Male,0.019144508940427307,2007,0.020834068018422375,1.3421571405221595
32,Male,0.01845893842548053,2007,0.021298226857298094,1.288429329628497
33,Male,0.017339395799046,2007,0.02179673855757868,1.322838459470404
34,Male,0.01582886565104305,2007,0.02290879844270271,1.2951259322561337
35,Male,0.015135305463296375,2007,0.023926433560106805,1.24673043016659
36,Male,0.013757525769122491,2007,0.02462109097878051,1.2814984655428119
37,Male,0.01258194623078556,2007,0.024345842476869276,1.261133542184269
38,Male,0.011639657539106753,2007,0.024848914291495643,1.2894733750150347
39,Male,0.011310272970492505,2007,0.024975867874882138,1.2249070027038513
40,Male,0.010399477283783397,2007,0.025496997742317788,1.313605564424042
41,Male,0.009562543065055544,2007,0.025325111832244215,1.2653088817692155
42,Male,0.008765406629468462,2007,0.0253460883582348,1.240581271716359
43,Male,0.008111711799073917,2007,0.025080020886539735,1.2813768847608622
44,Male,0.0070922863343570045,2007,0.024569956896583173,1.324940217611263
45,Male,0.006587955405388305,2007,0.02402359439643421,1.2547160802210657
46,Male,0.005806659830198796,2007,0.02336079697665635,1.2241477456356995
47,Male,0.0052756329002737815,2007,0.022496746510418098,1.2819599940178308
48,Male,0.0046847759927951945,2007,0.022076486372311084,1.3045271869543624
49,Male,0.004269404471373671,2007,0.0216751355083579,1.3143042642731888
50,Male,0.0037994076192421613,2007,0.020835770461111465,1.2578941726169393
51,Male,0.003382958121520213,2007,0.020093687853241657,1.2924272394896064
52,Male,0.0031006491984259203,2007,0.019452414173175874,1.2776953105572337
53,Male,0.0027816022650633864,2007,0.019563316154065227,1.3597758901045203
54,Male,0.002460920765856053,2007,0.019444266768878084,1.395446772613952
55,Male,0.0022381721700372283,2007,0.01904315911102334,1.296932885524447
56,Male,0.0019909519476772755,2007,0.01917844250328146,1.3540244930004397
57,Male,0.0018974096637678463,2007,0.019611227755458215,1.307089772222379
58,Male,0.0015280971737707675,2007,0.02025262303857322,1.255268286622887
59,Male,0.0012902679352889692,2007,0.021535292001754,1.3204426281092396
60,Male,0.001261572092655754,2007,0.02308542687169589,1.3567161435938024
16,Male,0.03339787915068292,2000,0.021049494238930815,1.247874473579544
17,Male,0.046079956455987454,2000,0.0207881563871421,1.3921841816568112
18,Male,0.052264654481675193,2000,0.02037998073621798,1.280416059096426
19,Male,0.053750515398522,2000,0.020269916676620862,1.3539364440279156
20,Male,0.0501199509208446,2000,0.021063509405398206,1.3035837380016382
21,Male,0.04628277912949446,2000,0.02021366314148799,1.4002100682002228
22,Male,0.04139468719418073,2000,0.019117008510291952,1.3604012462808142
23,Male,0.03674601573532379,2000,0.019121058764821522,1.247480632827923
24,Male,0.034761189662324464,2000,0.019992763545240506,1.372327494661116
25,Male,0.03886388872655017,2000,0.020901177775443345,1.34634913568665
26,Male,0.02944668372344278,2000,0.021660118326578836,1.2515123523045353
27,Male,0.027100677100677102,2000,0.02316745590912206,1.2650200253103
28,Male,0.024222188974021782,2000,0.02449266061734365,1.280191465677996
29,Male,0.022531089232087045,2000,0.02521817049617161,1.2478684459500315
30,Male,0.02084600440889272,2000,0.025051595742423872,1.34812614078197
31,Male,0.018535986464837024,2000,0.025763090454784438,1.4105121536342446
32,Male,0.017562167401926843,2000,0.025998262376517062,1.3255275037070844
33,Male,0.016323507486016322,2000,0.026734380064827215,1.2922208095951944
34,Male,0.014858141723813365,2000,0.026774882610122886,1.3360474264035391
35,Male,0.013362186591852466,2000,0.026856787757276346,1.228533308599186
36,Male,0.01238739011088673,2000,0.026582849113617867,1.3357896350051695
37,Male,0.010914216574133627,2000,0.026088846640519595,1.2026237657762475
38,Male,0.009971142162818955,2000,0.025397024593016924,1.2771528132423584
39,Male,0.008854519241203616,2000,0.024882320818989754,1.316142060263821
40,Male,0.008278786315416117,2000,0.023925817852467616,1.2800482551594596
41,Male,0.00710958904109589,2000,0.023465760369712377,1.3156580197630503
42,Male,0.006463422086182664,2000,0.023145983131139913,1.2486918010887529
43,Male,0.00593836828205959,2000,0.022420987570347457,1.2567576942572471
44,Male,0.005291335215884695,2000,0.02165131063022089,1.333897453619077
45,Male,0.00477649246338378,2000,0.021091218289560797,1.2724384873135692
46,Male,0.004245404342234662,2000,0.021246156597755337,1.3023566594670541
47,Male,0.004079926274481083,2000,0.02106788110869996,1.3349886414883205
48,Male,0.0033657349653545446,2000,0.020820365554115323,1.296455887286212
49,Male,0.0032095312982844764,2000,0.02101239905062034,1.3512679234289493
